id,lat,lon
8987,30.3365,78.0443
8988,30.3365,78.0441
8989,30.3366,78.044
8990,30.3366,78.0442
8991,30.3368,78.0442
9010,30.3362,78.0432
9012,30.3361,78.0432
9042,30.3359,78.0438
9043,30.336,78.0438
9044,30.3361,78.0439
9045,30.336,78.0441
9046,30.3359,78.0435
9047,30.3358,78.0438
9048,30.3358,78.0436
9049,30.3357,78.0435
9055,30.3353,78.0434
9056,30.3351,78.0433
9060,30.335,78.0432
9068,30.3352,78.0446
9069,30.335,78.0445
9070,30.3349,78.0446
9072,30.3349,78.0444
9073,30.3348,78.0443
9074,30.3349,78.0443
9075,30.3349,78.0442
9076,30.3349,78.0441
9077,30.3349,78.044
9078,30.3348,78.0439
9128,30.3355,78.0436
9130,30.3355,78.0434
9134,30.3352,78.0432
9185,30.3367,78.0432
9186,30.3365,78.0434
9187,30.3364,78.0433
9188,30.3365,78.0432
9189,30.3366,78.0433
9190,30.3367,78.0435
9191,30.3366,78.0436
9192,30.3367,78.0437
9193,30.3368,78.0438
9194,30.3369,78.0436
9195,30.3369,78.0434
9196,30.3368,78.0433
9197,30.3367,78.0434
9198,30.3368,78.0437
9199,30.3368,78.0435
9286,30.3364,78.044
9292,30.3352,78.0443
9293,30.3352,78.0444
9294,30.3348,78.0449
9295,30.3349,78.0452
9296,30.3351,78.0451
9297,30.3351,78.045
9298,30.3355,78.0451
9299,30.3355,78.0448
9300,30.3356,78.0449
9301,30.3356,78.0447
9302,30.3357,78.0448
9303,30.3358,78.0449
9304,30.3359,78.0449
9305,30.336,78.0448
9306,30.3359,78.0447
9307,30.3358,78.0446
9308,30.3357,78.0445
9309,30.3356,78.0446
9310,30.3356,78.0445
9311,30.3355,78.0445
9312,30.3354,78.0444
9313,30.3353,78.0443
9314,30.3353,78.0442
9315,30.3352,78.0441
9316,30.3352,78.0439
9364,30.3368,78.0456
9365,30.337,78.0453
9366,30.3369,78.0452
9367,30.3366,78.045
9379,30.3349,78.0433
9380,30.3348,78.0436
9381,30.3347,78.0436
9382,30.3351,78.0441
9383,30.335,78.0438
9384,30.3352,78.0438
9385,30.3354,78.0439
9386,30.3353,78.0439
9387,30.3358,78.0433
9388,30.3357,78.0434
9389,30.3363,78.0435
9390,30.3359,78.0434
9391,30.336,78.0436
9392,30.3361,78.0435
9398,30.337,78.045
9399,30.3369,78.0449
9400,30.3368,78.0448
9401,30.3367,78.0448
9402,30.3364,78.0454
9403,30.3365,78.0453
9404,30.3363,78.045
9405,30.3363,78.0452
9406,30.3361,78.0451
9407,30.3361,78.045
9408,30.3362,78.0449
9409,30.3362,78.0447
9410,30.336,78.0445
9411,30.3356,78.0443
9412,30.3355,78.0442
9413,30.3358,78.0443
9414,30.3359,78.0444
9415,30.336,78.0444
9416,30.3358,78.045
9417,30.3358,78.0451
9418,30.3357,78.0453
9419,30.3356,78.0452
9420,30.3355,78.0454
9421,30.3354,78.0456
9422,30.3355,78.0455
9423,30.3354,78.0455
9424,30.3353,78.0456
9425,30.3349,78.0454
9426,30.3353,78.0453
9427,30.3352,78.0452
